German,English
ich,I
sie,sister
das,dash
ist,east
du,two
nicht,not
die,die
es,yes
und,and
der,der
wir,wire
was,was
zu,zu
er,oh
ein,one
in,in
ja,yes
mir,mir
mit,with
wie,how
den,den
mich,mich
auf,up
dass,that
aber,aver
eine,one
so,so
hat,hat
hier,here
haben,have
für,for
sind,what
war,war
von,from
wenn,if
dich,dich
ihr,my
nein,no
habe,height
an,the
bin,bin
noch,notch
nur,noor
da,yes
dir,director
sich,sich
einen,one
uns,uns
hast,hast
dem,dem
kann,can
gut,gut
auch,also
schon,already
als,ass
sein,sign
mal,bad
jetzt,now
ihn,him
dann,then
aus,aus
meine,mine
um,um
im,I am
wird,word
mein,mine
bist,beast
doch,but
alles,everything
weiß,white
keine,none
oder,order
nach,no
s,s
nichts,nothing
man,either
muss,mousse
werden,become
will,will
ihnen,them
geht,goes
wo,wow
etwas,something
oh,oh
mehr,more
bei,bei
also,also
bitte,please
immer,always
hab,hub
warum,why
vor,for
los,go
können,can
wieder,again
sagen,sage
machen,make
danke,thank you
sehr,very
alle,all